Location,Latitude,Longitude,Paleolatitude,Paleolongitude,Age,SampleType,Method,Temp_C,SE+,SE-,Reference,Marine/Terrestrial,TimePeriod,Stage
"AND-1B, Antarctica",-77.9,167.1,-77.9,167.1,Pliocene,Diatom,?18O,-0.4,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 693, Antarctica",-70.8,-14.6,-70.8,-14.6,Pliocene,Diatom,?18O,1.2,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 274, Pacific ocean",-69,173.4,-69,173.4,Pliocene,Diatom,?18O,1.4,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"E13-17, Pacific ocean",-65.7,-124.1,-65.7,-124.1,Pliocene,Diatom,?18O,3,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 690, South Atlantic ocean",-65.2,1.2,-65.2,1.2,Pliocene,Diatom,?18O,2,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 323, Pacific ocean",-63.7,-98,-63.7,-98,Pliocene,Diatom,?18O,3.6,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"E50-28, Pacific ocean",-62.9,150.7,-62.9,150.7,Pliocene,Diatom,?18O,2.1,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 695, South Atlantic ocean",-62.4,-43.5,-62.4,-43.5,Pliocene,Diatom,?18O,2,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"E50-33, Pacific ocean",-61.1,170.1,-61.1,170.1,Pliocene,Diatom,?18O,3.7,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"E14-8, Pacific ocean",-59.7,-160.3,-59.7,-160.3,Pliocene,Diatom,?18O,4.1,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 745, Indian ocean",-59.6,85.9,-59.6,85.9,Pliocene,Diatom,?18O,2.5,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 748, Indian ocean",-58.4,79,-58.4,79,Pliocene,Diatom,?18O,2.4,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"E36-33, Pacific ocean",-57.8,150.9,-57.8,150.9,Pliocene,Diatom,?18O,4,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 751, Indian ocean",-57.7,79.8,-57.7,79.8,Pliocene,Diatom,?18O,2.7,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 266, Indian ocean",-56.4,110.1,-56.4,110.1,Pliocene,Diatom,?18O,3.5,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 747, Indian ocean",-54.8,76.8,-54.8,76.8,Pliocene,Diatom,?18O,3.2,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 699, South Atlantic ocean",-51.5,-30.7,-51.5,-30.7,Pliocene,Diatom,?18O,4.6,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 736, Indian ocean",-49.4,71.7,-49.4,71.7,Pliocene,Diatom,?18O,5.8,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 704, South Atlantic ocean",-46.9,7.4,-46.9,7.4,Pliocene,Planktic foraminifera,?18O,8.4,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"Rangitikei R., New Zealand",-39.5,175.9,-39.5,175.9,Pliocene,Planktic foraminifera,?18O,17.6,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 592, Tasman Sea",-36.5,165.4,-36.5,165.4,Pliocene,Planktic foraminifera,?18O,19.7,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 754, Indian ocean",-30.9,93.6,-30.9,93.6,Pliocene,Planktic foraminifera,?18O,19.5,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 516, South Atlantic ocean",-30.3,-35.3,-30.3,-35.3,Pliocene,Planktic foraminifera,?18O,23.3,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 521, South Atlantic ocean",-26.1,-10.3,-26.1,-10.3,Pliocene,Planktic foraminifera,?18O,24.1,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 763, Indian ocean",-20.6,112.2,-20.6,112.2,Pliocene,Planktic foraminifera,?18O,27.3,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 532, South Atlantic ocean",-19.7,10.5,-19.7,10.5,Pliocene,Planktic foraminifera,?18O,20.1,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 1237, Pacific ocean",-16,-76.4,-16,-76.4,Pliocene,Planktic foraminifera/Alkenone,Mg/Ca/UK’37,25.1,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 1115, Solomon Sea",-9.2,151.6,-9.2,151.6,Pliocene,Planktic foraminifera/Alkenone,?18O/UK’37,28.3,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 709, Indian ocean",-3.9,60.6,-3.9,60.6,Pliocene,Planktic foraminifera,?18O,28.2,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 586, Pacific ocean",-0.5,158.5,-0.5,158.5,Pliocene,Planktic foraminifera,?18O,29.1,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 847, Pacific ocean",0.2,-95.3,0.2,-95.3,Pliocene,Planktic foraminifera/Alkenone,Mg/Ca/UK’37,27.1,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 806, Pacific ocean",0.3,159.4,0.3,159.4,Pliocene,Planktic foraminifera,Mg/Ca,29.1,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 573, Pacific ocean",0.5,-133.3,0.5,-133.3,Pliocene,Radiolarian,?18O,24.7,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 677, Pacific ocean",1.2,-83.7,1.2,-83.7,Pliocene,Planktic foraminifera/Alkenone,?18O/UK’37,27.8,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 667, North Atlantic ocean",4.6,-21.9,4.6,-21.9,Pliocene,Planktic foraminifera,?18O,27,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 716, Indian ocean",4.9,73.3,4.9,73.3,Pliocene,Planktic foraminifera,?18O,28.6,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 852, Pacific ocean",5.3,-110.1,5.3,-110.1,Pliocene,Planktic foraminifera,?18O,29.4,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 758, Indian ocean",5.4,90.4,5.4,90.4,Pliocene,Planktic foraminifera,?18O,29.9,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 366, North Atlantic ocean",5.7,-19.9,5.7,-19.9,Pliocene,Planktic foraminifera,?18O,27.5,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 769, Pacific ocean",8.8,121.3,8.8,121.3,Pliocene,Planktic foraminifera,?18O,28.1,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"Cayo Aqua, Panama",9.2,-82.1,9.2,-82.1,Pliocene,Ostracod,?18O,28.8,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 661, North Atlantic ocean",9.5,-19.4,9.5,-19.4,Pliocene,Planktic foraminifera,?18O,26.9,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 502, Caribbean Sea",11.5,-79.4,11.5,-79.4,Pliocene,Planktic foraminifera,?18O,27.9,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 672, North Atlantic ocean",15.5,-58.5,15.5,-58.5,Pliocene,Planktic foraminifera,?18O,27.2,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 541, North Atlantic ocean",15.5,-58.7,15.5,-58.7,Pliocene,Planktic foraminifera,?18O,27.2,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 722, Arabian Sea",16.6,59.8,16.6,59.8,Pliocene,Planktic foraminifera,?18O,25.3,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 659, North Atlantic ocean",18.1,-21,18.1,-21,Pliocene,Planktic foraminifera,?18O,25,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 396, North Atlantic ocean",22.9,-43.5,22.9,-43.5,Pliocene,Planktic foraminifera,?18O,26.1,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 958, North Atlantic ocean",23,-20,23,-20,Pliocene,Planktic foraminifera/Alkenone,Mg/Ca/UK’37,24,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 1006, North Atlantic ocean",24.4,-79.5,24.4,-79.5,Pliocene,Planktic foraminifera/Alkenone,Mg/Ca/UK’37,27.9,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 445, Philippine Sea",25.5,133.2,25.5,133.2,Pliocene,Planktic foraminifera,Mg/Ca,26.2,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"SEFlor (G-182), USA",25.8,-80.3,25.8,-80.3,Pliocene,Ostracod,?18O,25.7,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"Sarasota, USA",27.3,-82.7,27.3,-82.7,Pliocene,Ostracod,?18O,23.4,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"Pinecrest Beds, USA",27.4,-82.4,27.4,-82.4,Pliocene,Ostracod,?18O,24.9,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 1062, North Atlantic ocean",28.3,-74.4,28.3,-74.4,Pliocene,Planktic foraminifera,Mg/Ca,27.2,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 625, the Gulf of Mexico",28.8,-87.2,28.8,-87.2,Pliocene,Alkenone,UK’37,25,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 951, North Atlantic ocean",32,-24.9,32,-24.9,Pliocene,Planktic foraminifera/Alkenone,Mg/Ca/UK’37,23.5,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 1014, Pacific ocean",32.8,-120,32.8,-120,Pliocene,Alkenone,UK’37,23.8,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 1063, North Atlantic ocean",33.7,-57.6,33.7,-57.6,Pliocene,Planktic foraminifera/Alkenone,?18O/UK’37,23.8,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 546, North Atlantic ocean",33.8,-9.6,33.8,-9.6,Pliocene,Planktic foraminifera,?18O,21.6,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"Duplin, USA",34,-79,34,-79,Pliocene,Ostracod,?18O,23.9,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"Finikia, Greece",35.3,25.2,35.3,25.2,Pliocene,Planktic foraminifera,?18O,18,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"Lee Creek, USA",35.4,-76.8,35.4,-76.8,Pliocene,Ostracod,?18O,23.5,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 603, North Atlantic ocean",35.5,-70,35.5,-70,Pliocene,Planktic foraminifera,?18O,26.4,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 310, Pacific ocean",36.9,-176.9,36.9,-176.9,Pliocene,Planktic foraminifera,?18O,21.6,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"Yorktowm, USA",37,-76.5,37,-76.5,Pliocene,Ostracod/Planktic foraminifera,?18O,21.5,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"Yabuta, Japan",37,137,37,137,Pliocene,Ostracod/Mollusc,?18O,17.4,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"Punta di Maiata, Italy",37.3,13.5,37.3,13.5,Pliocene,Planktic foraminifera,?18O,19.4,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"Punta Piccola, Italy",37.3,13.6,37.3,13.6,Pliocene,Planktic foraminifera,?18O,21.4,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 606, North Atlantic ocean",37.3,-35.5,37.3,-35.5,Pliocene,Planktic foraminifera/Alkenone,Mg/Ca/UK’37,21.6,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 579, Pacific ocean",38.6,153.8,38.6,153.8,Pliocene,Diatom,?18O,22.6,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 1021, Pacific ocean",39.1,-127.8,39.1,-127.8,Pliocene,Planktic foraminifera,?18O,20.3,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"Sasaoka, Japan",39.5,140.5,39.5,140.5,Pliocene,Ostracod,?18O,16.3,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 132, the Mediterranean",40.3,11.4,40.3,11.4,Pliocene,Planktic foraminifera,?18O,21,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 36, Pacific ocean",41,-130.1,41,-130.1,Pliocene,Planktic foraminifera,?18O,16.8,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 607, North Atlantic ocean",41,-33,41,-33,Pliocene,Planktic foraminifera/Alkenone,Mg/Ca/UK’37,18.9,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 580, Pacific ocean",41.6,154,41.6,154,Pliocene,Diatom,?18O,17.7,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 608, North Atlantic ocean",42.8,-23.1,42.8,-23.1,Pliocene,Planktic foraminifera,?18O,21.7,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 410, North Atlantic ocean",45.5,-29.5,45.5,-29.5,Pliocene,Planktic foraminifera,?18O,20.6,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 881, Pacific ocean",47.1,161.5,47.1,161.5,Pliocene,Diatom,?18O,10.1,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 548, North Atlantic ocean",48.9,-12,48.9,-12,Pliocene,Planktic foraminifera,?18O,23,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 609, North Atlantic ocean",49.9,-24.2,49.9,-24.2,Pliocene,Planktic foraminifera/Alkenone,Mg/Ca/UK’37,19.4,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 883, Pacific ocean",51.2,167.8,51.2,167.8,Pliocene,Diatom/Planktic foraminifera/Alkenone,?18O,9.1,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"North Sea, UK",52.5,1.5,52.5,1.5,Pliocene,Mollusc,?18O,13.6,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 610, North Atlantic ocean",53.2,-18.9,53.2,-18.9,Pliocene,Planktic foraminifera,?18O,19.3,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 887, Pacific ocean",54.4,-148.5,54.4,-148.5,Pliocene,Planktic foraminifera/Alkenone,?18O/UK’37,9.7,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"E.Kamchatka, the Bering Sea",56,163,56,163,Pliocene,Ostracod/Mollusc,?18O,7.5,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"DSDP 552, North Atlantic ocean",56,-23.2,56,-23.2,Pliocene,Planktic foraminifera/Alkenone,Mg/Ca/UK’37,16.7,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"Karaginsky, Russia",58.9,164,58.9,164,Pliocene,Ostracod/Mollusc,?18O,8.2,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 907, the Greenland Sea",69.3,-12.7,69.3,-12.7,Pliocene,Planktic foraminifera,Mg/Ca,11.7,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"Colvillian, USA",70.3,-150.4,70.3,-150.4,Pliocene,Ostracod,?18O,1.2,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 909, the Greenland Sea",78.6,3.1,78.6,3.1,Pliocene,Planktic foraminifera/Alkenone,Mg/Ca/UK’37,10.2,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"Meighen Island, Arctic ocean",79,-99,79,-99,Pliocene,Ostracod,?18O,1.7,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"ODP 911, the Greenland Sea",80.5,8.2,80.5,8.2,Pliocene,Alkenone,UK’37,12.2,/,/,"Dowsett et al., 2012",Marine,Pliocene,Late Pliocene
"Linda Valley, Tasmania, Australia",-42.8,145.7,-42.8,145.7,Upper Pliocene,Plant fossil,QualEst,14,2,2,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Lake George, Australia",-35.2,149.4,-35.2,149.4,Upper Pliocene,Plant fossil,QualEst,14,2,2,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Yallalie, Perth, Australia",-30.4,115.8,-30.4,115.8,Upper Pliocene,Plant fossil,QualEst,21,5,5,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"West Butcher Creek, Australia",-17.4,145.7,-17.4,145.7,Upper Pliocene,Plant fossil,QualEst,21.2,/,/,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"ODP 823, Leg 133 (b), Australia",-16.7,145.2,-16.7,145.2,Upper Pliocene,Plant fossil,QualEst,21.5,1.5,1.5,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Columbia Bogotá Fatativá 13 Site, Columbia",5,-74.6,5,-74.6,Upper Pliocene,Plant fossil,Coexistence Approach,23.8,1.2,1.2,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Bogotá B, Columbia",5.2,-73.2,5.2,-73.2,Upper Pliocene,Plant fossil,Coexistence Approach,24.9,0,0,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Rio Banano, Costa Rica",10,-83.3,10,-83.3,Upper Pliocene,Plant fossil,QualEst,27,/,/,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Rio Banano, Costa Rica",10,-83.3,10,-83.3,Upper Pliocene,Plant fossil,Coexistence Approach,23.7,2.8,2.8,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Hadar, Ethiopia",11.3,40.6,11.3,40.6,Upper Pliocene,Plant fossil,BA,20.5,1,1,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Herrería, Mexico",17,-94,17,-94,Upper Pliocene,Plant fossil,Coexistence Approach,26.6,0,0,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Paraje Solo, Mexico",17,-94,17,-94,Upper Pliocene,Plant fossil,Coexistence Approach,24.5,0.1,0.1,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"ODP Site 658, North Atlantic ocean",21,-19,21,-19,Upper Pliocene,Plant fossil,Coexistence Approach,23.7,0.4,0.4,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Pinecrest, Florida, USA",27.4,-82.4,27.4,-82.4,Upper Pliocene,Plant fossil,QualEst,23.1,/,/,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Peace Creek, USA",28,-82.5,28,-82.5,Upper Pliocene,Plant fossil,Coexistence Approach,18.6,4.2,4.2,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Central Kyushu, Japan",33.1,131.5,33.1,131.5,Upper Pliocene,Plant fossil,QuantEst,18,/,/,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Nador, Morocco",35.2,-2.9,35.2,-2.9,Upper Pliocene,Plant fossil,Coexistence Approach,21.5,1,1,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Habibas 1, Algeria",35.2,-1.8,35.2,-1.8,Upper Pliocene,Plant fossil,Coexistence Approach,17.5,3.6,3.6,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Nador 1, Morocco",35.3,-2.7,35.3,-2.7,Upper Pliocene,Plant fossil,Coexistence Approach,16.7,2.6,2.6,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Habibas, Algeria",35.7,-1.1,35.7,-1.1,Upper Pliocene,Plant fossil,Coexistence Approach,21,1,1,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Jiriba 1, North Atlantic ocean",36.3,10.7,36.3,10.7,Upper Pliocene,Plant fossil,Coexistence Approach,17.6,3.4,3.4,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Andalucia G1, Spain",36.4,-4.8,36.4,-4.8,Upper Pliocene,Plant fossil,Coexistence Approach,21,2,2,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Andalucia G2, Spain",36.4,-4.8,36.4,-4.8,Upper Pliocene,Plant fossil,Coexistence Approach,18.3,0.4,0.4,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Yorktown, Virginia, USA",36.6,-76.4,36.6,-76.4,Upper Pliocene,Plant fossil,QualEst,17.5,/,/,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Yorktown, Virginia, USA",36.7,-74.5,36.7,-74.5,Upper Pliocene,Plant fossil,Coexistence Approach,17.5,4.2,4.2,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Gela G1, Italy",37.1,14.1,37.1,14.1,Upper Pliocene,Plant fossil,Coexistence Approach,16.7,0.3,0.3,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Lac Ichkeul, Tunisia",37.2,9.7,37.2,9.7,Upper Pliocene,Plant fossil,Coexistence Approach,19.2,0,0,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Punta Piccola 2, Italy",37.3,13.4,37.3,13.4,Upper Pliocene,Plant fossil,Coexistence Approach,16.7,0.3,0.3,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Capo Rosella B, Italy",37.3,13.4,37.3,13.4,Upper Pliocene,Plant fossil,Coexistence Approach,16.7,0.3,0.3,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Zakynthos, Greece",37.7,20.8,37.7,20.8,Upper Pliocene,Plant fossil,Coexistence Approach,17.6,1.1,1.1,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"California/Sonoma-Napa, USA",38.3,-122.5,38.3,-122.5,Upper Pliocene,Plant fossil,CLAMP,17.6,2,2,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Delaware Omar Fm, USA",38.5,-75.2,38.5,-75.2,Upper Pliocene,Plant fossil,Coexistence Approach,17.5,4.2,4.2,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Upper Beaverdam, USA",38.6,-75.5,38.6,-75.5,Upper Pliocene,Plant fossil,Coexistence Approach,17.5,4.2,4.2,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Delaware Beaverdam Fm, USA",38.7,-75.2,38.7,-75.2,Upper Pliocene,Plant fossil,Coexistence Approach,17.6,3.2,3.2,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Black Rock, USA",38.7,-113,38.7,-113,Upper Pliocene,Plant fossil,Coexistence Approach,12.6,1.3,1.3,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"New Jersey Cape May County, USA",38.9,-74.9,38.9,-74.9,Upper Pliocene,Plant fossil,Coexistence Approach,17.4,3.5,3.5,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Semaforo, Italy",39.1,17.1,39.1,17.1,Upper Pliocene,Plant fossil,Coexistence Approach,16.6,0.1,0.1,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Rio Maior, Portugal",39.4,-8.9,39.4,-8.9,Upper Pliocene,Plant fossil,Coexistence Approach,16,2,2,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Rio Maior, Portugal",39.4,-8.9,39.4,-8.9,Upper Pliocene,Plant fossil,Coexistence Approach,18.3,0.5,0.5,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Camerota, Italy",40,15.4,40,15.4,Upper Pliocene,Plant fossil,Coexistence Approach,17.6,3.4,3.4,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Kura Depression, Azerbaijan",40.5,49.7,40.5,49.7,Upper Pliocene,Plant fossil,QualEst,21,/,/,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Tortosa, Spain",40.8,-0.5,40.8,-0.5,Upper Pliocene,Plant fossil,Coexistence Approach,16.2,0.8,0.8,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Tarragona, the Mediterranean",40.8,1.1,40.8,1.1,Upper Pliocene,Plant fossil,Coexistence Approach,20,2.5,2.5,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Tarragona E2, the Mediterranean",40.8,1.1,40.8,1.1,Upper Pliocene,Plant fossil,Coexistence Approach,16.9,0.4,0.4,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Garraf, Catalonia, Spain",41.2,2,41.2,2,Upper Pliocene,Plant fossil,QualEst,19,/,/,"Salzmann et al., 2013",Terrestrial,Pliocene,Late Pliocene
"Caldes de Malavella 1a, Spain",41.8,2.8,41.8,2.8,Upper Pliocene,Plant fossil,Coexistence Approach,15,1.1,1.1,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Tulelake, USA",41.9,-121.5,41.9,-121.5,Upper Pliocene,Plant fossil,Coexistence Approach,15.7,1.8,1.8,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"S. Pedro da Torre ST2, Portugal",42,-8.6,42,-8.6,Upper Pliocene,Plant fossil,Coexistence Approach,16.9,0.1,0.1,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Rio Maior, Spain",42.5,-7.3,42.5,-7.3,Upper Pliocene,Plant fossil,Coexistence Approach,17.1,0.7,0.7,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
"Glenn Ferry, USA",43,-115.8,43,-115.8,Upper Pliocene,Plant fossil,Coexistence Approach,11.4,1.8,1.8,"Utescher et al., 2017",Terrestrial,Pliocene,Late Pliocene
